"","Genome_ID","Count","Integron_type","Genus_rev"
"1","G_1037039",0,"CALIN","Salmonella"
"2","G_1037039",0,"complete","Salmonella"
"3","G_1037039",1,"In0","Salmonella"
"4","G_1111816",2,"CALIN","Other"
"5","G_1111816",0,"In0","Other"
"6","G_1111816",1,"complete","Other"
"7","G_1112137",1,"CALIN","Other"
"8","G_1112137",1,"In0","Other"
"9","G_1112137",0,"complete","Other"
"10","G_1112191",0,"CALIN","Other"
"11","G_1112191",1,"complete","Other"
"12","G_1112191",0,"In0","Other"
"13","G_1112252",1,"CALIN","Other"
"14","G_1112252",1,"complete","Other"
"15","G_1112252",0,"In0","Other"
"16","G_1121466",0,"CALIN","Other"
"17","G_1121466",1,"In0","Other"
"18","G_1121466",0,"complete","Other"
"19","G_1121573",0,"CALIN","Other"
"20","G_1121573",1,"In0","Other"
"21","G_1121573",1,"complete","Other"
"22","G_1124583",0,"In0","Other"
"23","G_1124583",1,"CALIN","Other"
"24","G_1124583",1,"complete","Other"
"25","G_1124635",1,"complete","Other"
"26","G_1124635",0,"CALIN","Other"
"27","G_1124635",0,"In0","Other"
"28","G_1127449",0,"In0","Other"
"29","G_1127449",0,"complete","Other"
"30","G_1127449",1,"CALIN","Other"
"31","G_1135043",0,"In0","Other"
"32","G_1135043",0,"CALIN","Other"
"33","G_1135043",2,"complete","Other"
"34","G_1138908",2,"CALIN","Other"
"35","G_1138908",1,"In0","Other"
"36","G_1138908",0,"complete","Other"
"37","G_1139203",1,"complete","Other"
"38","G_1139203",3,"CALIN","Other"
"39","G_1139203",0,"In0","Other"
"40","G_1139210",1,"complete","Other"
"41","G_1139210",0,"In0","Other"
"42","G_1139210",2,"CALIN","Other"
"43","G_1139211",1,"In0","Other"
"44","G_1139211",4,"CALIN","Other"
"45","G_1139211",0,"complete","Other"
"46","G_1139217",0,"In0","Other"
"47","G_1139217",3,"CALIN","Other"
"48","G_1139217",1,"complete","Other"
"49","G_1139223",7,"CALIN","Other"
"50","G_1139223",0,"complete","Other"
"51","G_1139223",0,"In0","Other"
"52","G_1139234",1,"complete","Other"
"53","G_1139234",0,"In0","Other"
"54","G_1139234",3,"CALIN","Other"
"55","G_1139239",0,"In0","Other"
"56","G_1139239",3,"CALIN","Other"
"57","G_1139239",0,"complete","Other"
"58","G_1223335",1,"In0","Other"
"59","G_1223335",0,"CALIN","Other"
"60","G_1223335",1,"complete","Other"
"61","G_1223398",4,"CALIN","Other"
"62","G_1223398",1,"In0","Other"
"63","G_1223398",0,"complete","Other"
"64","G_1225002",0,"complete","Other"
"65","G_1225002",0,"CALIN","Other"
"66","G_1225002",0,"In0","Other"
"67","G_1227445",0,"In0","Other"
"68","G_1227445",0,"complete","Other"
"69","G_1227445",0,"CALIN","Other"
"70","G_1230645",1,"In0","Other"
"71","G_1230645",0,"CALIN","Other"
"72","G_1230645",1,"complete","Other"
"73","G_1230667",2,"CALIN","Other"
"74","G_1230667",0,"In0","Other"
